variant,fold,seed,wall_clock_s,is_damage_monotonic,max_monotonicity_violation,soh_rmse,soh_mae,soh_mape,soc_rmse,soc_mae,soc_mape,rul_rmse,rul_mae,rul_mape
Ablation_NoCrossAttn,B0005,42,2.938000000001921,True,0.0009902939200401306,0.052429612181234334,0.03816751284947677,5.221336213675346,,,,49.92718990015012,35.73681885486543,71.52271433081347
Ablation_NoCrossAttn,B0005,43,2.764999999999418,True,0.001233801245689392,0.046158455009073535,0.03570246144637602,4.795599326831864,,,,51.83723056345086,37.0997667812224,74.54942141404773
Ablation_NoCrossAttn,B0005,44,2.7819999999992433,True,0.001127190887928009,0.05011288036792701,0.036814419893478154,5.0094225558500645,,,,52.03357713871747,37.570714264586925,75.43126763287738
Ablation_NoCrossAttn,B0006,42,2.8589999999967404,True,0.00045805424451828003,0.06682465480307753,0.05244372053525069,7.552546853480954,,,,38.82508906869492,26.292305581656926,76.61457055237662
Ablation_NoCrossAttn,B0006,43,2.827999999994063,True,0.0008289813995361328,0.07889311807316379,0.057983140784266,8.546375662151863,,,,41.00752289267978,27.612035894323828,76.50608375420876
Ablation_NoCrossAttn,B0006,44,2.889999999999418,True,0.0006591826677322388,0.07017908167862025,0.05330994461910878,7.742873748481478,,,,40.985164694338444,28.213550928625324,77.49162485822532
Ablation_NoCrossAttn,B0007,42,3.0,True,0.0017976611852645874,0.07239725928824288,0.0617860555360782,7.984098552505883,,,,,,
Ablation_NoCrossAttn,B0007,43,2.938000000001921,True,0.0020474791526794434,0.06769235510774779,0.05613440393174434,7.2760815265006675,,,,,,
Ablation_NoCrossAttn,B0007,44,2.9689999999973224,True,0.0016639754176139832,0.028636452669764743,0.02355706393037938,2.928450994559642,,,,,,
Ablation_NoCrossAttn,B0018,42,2.7189999999973224,True,0.001794581301510334,0.05351960342608956,0.047969396153346264,6.023566350243058,,,,36.21827150636925,26.724025915969502,77.62016376997934
Ablation_NoCrossAttn,B0018,43,2.686999999998079,True,0.0018606381490826607,0.04909411533429975,0.04445389482235157,5.602283232626829,,,,38.19185324476429,27.861014195463873,77.70847204756404
Ablation_NoCrossAttn,B0018,44,2.7819999999992433,True,0.0017611905932426453,0.05320498744297452,0.045776418390034816,5.80994916580747,,,,38.22721390670346,27.740180240774695,74.88643238614921
Ablation_NoHardGating,B0005,42,3.8439999999973224,True,0.0016123875975608826,0.08821413551328601,0.06403994778867375,9.080652034423858,,,,50.07531236142882,35.95595280319359,70.48489304675735
Ablation_NoHardGating,B0005,43,3.7810000000026776,True,0.0017178058624267578,0.07301462150844462,0.05442802844378306,7.66609943187931,,,,52.19996976137615,37.57328366721739,74.1337023153414
Ablation_NoHardGating,B0005,44,3.7339999999967404,True,0.0015931129455566406,0.06320056880889828,0.042658788803310026,6.0675095403725745,,,,52.40804103563502,37.98023010109938,75.77847280088584
Ablation_NoHardGating,B0006,42,3.5939999999973224,True,0.00046196579933166504,0.06822256234872953,0.055550799181166226,7.701652827043374,,,,38.9379523838386,26.60244916449301,78.4958535691708
Ablation_NoHardGating,B0006,43,3.375,True,0.0006233379244804382,0.08437042186988336,0.06325944989908497,9.214143556540286,,,,41.18244457870782,27.782535244482762,76.78212153677497
Ablation_NoHardGating,B0006,44,3.5780000000013388,True,0.001067526638507843,0.055487667140173814,0.04428895446660166,6.188037333573142,,,,41.13804775027696,28.628004156762646,78.42508815266682
Ablation_NoHardGating,B0007,42,3.9530000000013388,True,0.0012268945574760437,0.028434730658339003,0.02197895278149467,2.8161105933944093,,,,,,
Ablation_NoHardGating,B0007,43,3.9060000000026776,True,0.001386098563671112,0.03483123619680415,0.028234801737227467,3.623869170277436,,,,,,
Ablation_NoHardGating,B0007,44,3.8590000000040163,True,0.0004208758473396301,0.07744183664770646,0.06974741834699623,8.880291773297818,,,,,,
Ablation_NoHardGating,B0018,42,3.7030000000013388,True,0.001543884165585041,0.05612446001365642,0.05247430284269321,6.7813967391843075,,,,36.34197300082116,27.62646268714558,83.31285027771
Ablation_NoHardGating,B0018,43,3.8439999999973224,True,0.0017344281077384949,0.0362314406945524,0.032290600259354645,4.115184774649179,,,,38.22762653420821,28.23869339986281,80.09289169465002
Ablation_NoHardGating,B0018,44,3.7180000000007567,True,0.0014752743300050497,0.04924291168951715,0.04439978460784003,5.661359650419007,,,,38.29934700622858,28.667634629842006,80.17837035441934
Ablation_NoMonotonicity,B0005,42,3.514999999999418,False,-0.03693470358848572,0.07527154435046901,0.06534857533357659,8.240608489793521,,,,49.44726524165379,37.97056125459217,85.65556828645752
Ablation_NoMonotonicity,B0005,43,3.4060000000026776,False,-0.05003778636455536,0.06571454877712657,0.0440047812748698,5.1237742938128585,,,,54.99408173039952,41.26877603928248,84.17542455534695
Ablation_NoMonotonicity,B0005,44,3.2339999999967404,False,-0.1429595947265625,0.05996602790598126,0.04140065528565432,5.033368570658464,,,,53.218694777551015,40.366435439813706,84.32277019311445
Ablation_NoMonotonicity,B0006,42,3.5469999999986612,False,-0.08376425504684448,0.3562247510754476,0.30571598763633023,43.105287185830576,,,,28.111541397903725,18.370787516236305,64.2055639785006
Ablation_NoMonotonicity,B0006,43,3.7190000000045984,False,-0.1764744222164154,0.42900281603501733,0.3405041576374791,49.09192025269225,,,,29.9280684239241,19.740968320341338,74.07318953506922
Ablation_NoMonotonicity,B0006,44,3.562000000005355,False,-0.07253846526145935,0.3465099489782847,0.29111535031621816,41.068517219626685,,,,29.495609879881652,21.134780092430965,80.1292562306975
Ablation_NoMonotonicity,B0007,42,3.7180000000007567,False,-0.20134294033050537,0.20397424787277738,0.16037315944927447,18.36666904186442,,,,,,
Ablation_NoMonotonicity,B0007,43,3.561999999998079,False,-0.0379004180431366,0.09301207180368715,0.08307102948319624,10.65809656053925,,,,,,
Ablation_NoMonotonicity,B0007,44,3.811999999998079,False,-0.09459477663040161,0.21121810775817998,0.2040504541824213,25.581015319063738,,,,,,
Ablation_NoMonotonicity,B0018,42,3.797000000005937,False,-0.061694398522377014,0.08975906272847782,0.07654416199155067,10.489020077447114,,,,38.21236164221657,28.94987024682941,80.26440461105571
Ablation_NoMonotonicity,B0018,43,3.312999999994645,False,-0.0551876425743103,0.0529122102626777,0.04337090096297461,5.926292370548551,,,,40.75054128863926,30.697337013302427,81.83501292879193
Ablation_NoMonotonicity,B0018,44,3.1710000000020955,False,-0.07920795679092407,0.10288537828731663,0.10046126032063062,12.842295793197216,,,,37.175866695213614,29.675568176038336,96.70199688495794
